,,,,,Targe,tRPJM,N 202,1: 85%,,,,,,,,,,,,,,,,,,,
Ta,rget 6,Renstra: 5%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"50,0% 47,8%",,,,,,"52,0%",,,,,,,,
,,,,,,,,,"43,0%",,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,2017,2018,2020,2021,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,,,,,,,,,
1,Aceh,341,348,359,359,360,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,571,581,601,608,615,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,269,275,275,276,279,,,,,,,,,,,,,,,,,,,,,
4,Riau,215,216,228,231,234,,,,,,,,,,,,,,,,,,,,,
5,Jambi,186,195,205,207,207,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,322,332,341,343,345,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,180,180,179,179,179,,,,,,,,,,,,,,,,,,,,,
8,Lampung,297,302,310,312,315,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,63,64,64,64,64,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,74,83,86,88,93,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,340,321,315,315,315,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.056,1.069,1.072,1.083,1.086,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,876,881,878,878,880,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,121,121,121,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,963,967,968,968,971,,,,,,,,,,,,,,,,,,,,,
16,Banten,233,242,243,245,245,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,120,120,120,120,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,160,166,169,174,175,,,,,,,,,,,,,,,,,,,,,
