Ta 20,rget Renstra 14: 78%,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Puskesmas,,,,,,,Rumah Sakit denga Pelayanan Obstetrik dan Neonatal Emergensi Komprehensif (PONEK),Rumah Sakit yang dilatih Akupuntur dan Herbal,,,,,,,,,,,,
,,Pelayanan Obstetrik dan Neonatal Emergensi Dasar (PONED),Pelayanan Kesehatan Peduli Remaja (PKPR),Upaya Kesehatan Kerja,Upaya Kesehatan Olahraga,"Upaya Kesehatan Tradisional, Alternatif dan Komplementer",Pembinaan Panti Anak Terlantar,Tatalaksana Kasus Kekerasan terhadap Anak,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,
1,Aceh,89,92,38,31,41,52,62,17,3,,,,,,,,,,,,
2,Sumatera Utara,155,241,0,13,70,19,130,25,5,,,,,,,,,,,,
3,Sumatera Barat,101,85,0,0,24,67,45,19,6,,,,,,,,,,,,
4,Riau,70,83,40,26,30,31,30,14,5,,,,,,,,,,,,
5,Jambi,58,54,47,25,9,31,33,8,4,,,,,,,,,,,,
6,Sumatera Selatan,119,134,0,25,56,48,33,16,4,,,,,,,,,,,,
7,Bengkulu,54,71,4,127,32,4,53,12,3,,,,,,,,,,,,
8,Lampung,82,68,11,18,50,55,43,6,3,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,24,39,33,30,9,9,17,7,3,,,,,,,,,,,,
10,Kepulauan Riau,25,40,24,6,9,22,31,11,3,,,,,,,,,,,,
11,DKI Jakarta,17,22,0,41,44,31,12,18,,,,,,,,,,,,,
12,Jawa Barat,232,356,112,156,25,85,122,32,8,,,,,,,,,,,,
13,Jawa Tengah,293,265,0,31,54,29,225,40,9,,,,,,,,,,,,
14,DI Yogyakarta,68,76,8,20,48,32,28,8,2,,,,,,,,,,,,
15,Jawa Timur,283,277,164,91,49,324,160,51,7,,,,,,,,,,,,
16,Banten,72,54,181,49,85,32,76,12,3,,,,,,,,,,,,
17,Bali,54,50,120,57,103,27,18,10,2,,,,,,,,,,,,
18,Nusa Tenggara Barat,61,40,74,0,13,28,20,10,2,,,,,,,,,,,,
19,Nusa Tenggara Timur,94,146,0,0,11,85,76,7,2,,,,,,,,,,,,
20,Kalimantan Barat,66,124,0,0,38,53,72,11,3,,,,,,,,,,,,
21,Kalimantan Tengah,63,57,23,4,15,,32,12,3,,,,,,,,,,,,
22,Kalimantan Selatan,60,85,36,24,9,44,40,14,2,,,,,,,,,,,,
23,Kalimantan Timur,81,51,16,0,13,45,47,20,1,,,,,,,,,,,,
24,Kalimantan Utara,25,0,0,7,0,0,0,3,0,,,,,,,,,,,,
25,Sulawesi Utara,87,78,0,0,25,20,59,10,2,,,,,,,,,,,,
26,Sulawesi Tengah,90,41,26,12,10,39,22,9,2,,,,,,,,,,,,
27,Sulawesi Selatan,153,101,127,86,110,67,59,32,2,,,,,,,,,,,,
28,Sulawesi Tenggara,73,49,0,0,28,47,25,8,2,,,,,,,,,,,,
29,Gorontalo,24,22,24,0,20,18,10,6,3,,,,,,,,,,,,
30,Sulawesi Barat,39,18,4,0,33,,9,3,2,,,,,,,,,,,,
31,Maluku,55,92,0,0,62,16,34,9,1,,,,,,,,,,,,
32,Maluku Utara,34,22,0,0,12,10,14,4,1,,,,,,,,,,,,
33,Papua Barat,21,41,0,0,7,0,40,4,1,,,,,,,,,,,,
34,Papua,33,25,0,0,23,0,19,8,2,,,,,,,,,,,,
Indonesia,,2.855,2.999,1.112,879,1.167,1.370,1.696,476,101,,,,,,,,,,,,
No,Provinsi,Rumah Sakit Publik,,,,,,,,,,,,,,,Rumah Sakit Privat,,,,,
,,Kemenkes,,,Pemda,,,TNI/POLRI,,,Kementerian Lain,,,Swasta Non Profit,,,Swasta,,,BUMN,,
,,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah
(1),(2),(3),(4),(5),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
1,Aceh,0,0,0,25,2,27,4,0,4,0,0,0,15,0,15,13,1,14,4,0,4
2,Sumatera Utara,1,0,1,34,3,37,9,0,9,0,0,0,67,9,76,34,5,39,14,1,15
3,Sumatera Barat,1,1,2,19,1,20,4,0,4,0,0,0,11,9,20,2,13,15,1,0,1
4,Riau,0,0,0,16,3,19,4,0,4,0,0,0,5,1,6,22,8,30,3,0,3
5,Jambi,0,0,0,13,1,14,2,0,2,0,0,0,1,1,2,12,3,15,0,0,0
6,Sumatera Selatan,1,1,2,21,4,25,4,0,4,0,0,0,8,3,11,6,2,8,5,0,5
7,Bengkulu,0,0,0,12,1,13,3,0,3,0,0,0,2,0,2,1,0,1,0,0,0
8,Lampung,0,0,0,13,1,14,2,0,2,0,0,0,13,3,16,14,7,21,0,0,0
9,Kepulauan Bangka Belitung,0,0,0,8,1,9,0,0,0,0,0,0,3,0,3,3,1,4,0,0,0
10,Kepulauan Riau,0,0,0,11,0,11,2,0,2,0,0,0,4,2,6,3,1,4,2,0,2
11,DKI Jakarta,3,7,10,7,2,9,9,3,12,3,0,3,31,22,53,37,29,66,4,1,5
12,Jawa Barat,1,4,5,40,4,44,13,0,13,0,0,0,53,20,73,103,50,153,4,1,5
13,Jawa Tengah,2,3,5,50,6,56,12,0,12,1,1,2,104,43,147,50,25,75,3,0,3
14,DI Yogyakarta,1,0,1,6,2,8,4,0,4,0,0,0,26,13,39,13,5,18,0,1,1
15,Jawa Timur,0,1,1,55,10,65,29,2,31,1,0,1,84,33,117,70,49,119,11,2,13
16,Banten,0,1,1,10,0,10,2,0,2,0,0,0,11,5,16,35,20,55,1,0,1
17,Bali,1,0,1,9,2,11,3,0,3,0,0,0,17,5,22,15,5,20,0,0,0
18,Nusa Tenggara Barat,0,0,0,12,1,13,2,0,2,0,0,0,4,0,4,5,0,5,0,0,0
19,Nusa Tenggara Timur,0,0,0,19,0,19,5,0,5,0,0,0,13,4,17,3,0,3,0,0,0
20,Kalimantan Barat,0,0,0,16,3,19,6,0,6,0,0,0,7,1,8,7,4,11,1,0,1
21,Kalimantan Tengah,0,0,0,15,1,16,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0
22,Kalimantan Selatan,0,0,0,14,2,16,5,0,5,0,0,0,3,5,8,3,2,5,2,0,2
23,Kalimantan Timur,0,0,0,11,2,13,4,0,4,0,0,0,4,1,5,12,8,20,2,0,2
24,Kalimantan Utara,0,0,0,5,0,5,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
25,Sulawesi Utara,2,0,2,15,1,16,4,0,4,0,1,1,14,0,14,3,2,5,0,0,0
26,Sulawesi Tengah,0,0,0,16,1,17,2,0,2,0,0,0,4,4,8,1,3,4,0,0,0
27,Sulawesi Selatan,1,1,2,28,7,35,8,1,9,0,0,0,12,12,24,10,6,16,1,1,2
28,Sulawesi Tenggara,0,0,0,13,1,14,2,0,2,0,0,0,4,0,4,0,4,4,1,0,1
29,Gorontalo,0,0,0,9,0,9,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0
30,Sulawesi Barat,0,0,0,8,0,8,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
31,Maluku,0,0,0,15,1,16,4,0,4,0,0,0,7,0,7,0,0,0,0,0,0
32,Maluku Utara,0,0,0,13,0,13,2,0,2,0,0,0,4,0,4,0,0,0,0,0,0
33,Papua Barat,0,0,0,10,0,10,3,0,3,0,0,0,1,0,1,3,0,3,1,0,1
34,Papua,0,0,0,21,2,23,7,0,7,0,0,0,5,0,5,2,1,3,0,0,0
Indonesia,,14,19,33,589,65,654,163,6,169,5,2,7,539,197,736,485,255,740,60,7,67
No,Pengelola,Tahun 2010,,Tahun 2011,,Tahun 2012,,Tahun 2013,,Tahun 2014,,,,,,,,,,,,
,,RS,TT,RS,TT,RS,TT,RS,TT,RS,TT,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,
1,Kementerian Kesehatan,13,8.873,14,9.724,14,10.832,14,11.028,14,10.673,,,,,,,,,,,
2,Pemerintah Provinsi,45,13.854,47,14.065,49,16.292,53,18.526,52,17.030,,,,,,,,,,,
3,Pemerintah Kab/Kota,445,43.341,472,52.536,508,74.741,525,84.694,537,81.954,,,,,,,,,,,
4,TNI/POLRI,129,11.771,132,12.272,151,19.830,155,20.832,163,20.312,,,,,,,,,,,
5,Kementerian Lain dan BUMN,72,6.925,73,8.535,71,8.040,63,7.444,65,7.285,,,,,,,,,,,
6,Swasta dan Swasta Non Profit,591,52.306,634,52.694,815,74.033,915,102.816,1.024,99.356,,,,,,,,,,,
Jumlah,,1.295,137.070,1.372,149.826,1.608,203.768,1.725,245.340,1.855,236.610,,,,,,,,,,,
No,Jenis Rumah Sakit,Tahun 2010,,Tahun 2011,,Tahun 2012,,Tahun 2013,,Tahun 2014,,,,,,,,,,,,
,,RS,TT,RS,TT,RS,TT,RS,TT,RS,TT,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,
1,RS Jiwa,52,8.760,52,7.541,53,8.542,51,10.349,51,10.585,,,,,,,,,,,
2,RS Kusta,23,2.326,23,1.854,22,1.989,18,2.048,16,1.807,,,,,,,,,,,
3,RS Tuberkulosa Paru,10,757,10,778,12,915,11,919,12,933,,,,,,,,,,,
4,RS Mata,12,448,13,519,14,520,15,647,18,637,,,,,,,,,,,
5,RS Bersalin,62,2.453,65,2.334,94,3.150,99,3.457,113,3.631,,,,,,,,,,,
6,RS Ibu dan Anak,106,4.809,114,5.267,169,7.697,159,8.147,233,10.761,,,,,,,,,,,
7,RS Khusus Lainnya,72,2.521,72,2.537,111,4.851,150,7.543,108,4.779,,,,,,,,,,,
Jumlah,,337,22.074,349,20.830,475,27.664,503,33.110,551,33.133,,,,,,,,,,,
No,Provinsi,Kelas A,,,Kelas B,,,Kelas C,,,Kelas D,,,Belum Ditetapkan Kelas,,,Total,,,,,
,,RS,TT,Persentase RS,RS,TT,Persentase RS,RS,TT,Persentase RS,RS,TT,Persentase RS,RS,TT,Persentase RS,RS,TT,Rasio TT,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,
1,Aceh,3,813,"4,69",6,1.428,"9,38",25,3.046,"39,06",8,536,"12,50",22,1.295,"34,38",64,7.118,"1,50",,,
2,Sumatera Utara,1,721,"0,56",23,5.572,"12,99",58,6.526,"32,77",28,2.122,"15,82",67,5.069,"37,85",177,20.010,"1,48",,,
3,Sumatera Barat,1,264,"1,61",4,1.564,"6,45",22,2.818,"35,48",16,552,"25,81",19,796,"30,65",62,5.994,"1,18",,,
4,Riau,1,182,"1,61",8,1.874,"12,90",27,2.510,"43,55",14,906,"22,58",12,420,"19,35",62,5.892,"0,93",,,
5,Jambi,0,0,"0,00",3,684,"9,09",12,1.466,"36,36",6,425,"18,18",12,615,"36,36",33,3.190,"0,93",,,
6,Sumatera Selatan,3,1.682,"5,45",5,1.031,"9,09",24,3.351,"43,64",11,715,"20,00",12,788,"21,82",55,7.567,"0,95",,,
7,Bengkulu,0,0,"0,00",2,696,"10,53",4,400,"21,05",10,583,"52,63",3,202,"15,79",19,1.881,"1,03",,,
8,Lampung,0,0,"0,00",4,1.262,"7,55",25,2.621,"47,17",7,482,"13,21",17,1.320,"32,08",53,5.685,"0,71",,,
