,78,,,,,,,,,,,,,,,,,,,,,
,101,,,,,,,,,,,,,,,,,,,,,
,105,,,,,,,,,,,,,,,,,,,,,
,120,,,,,,,,,,,,,,,,,,,,,
,140,,,,,,,,,,,,,,,,,,,,,
,189,,,,,,,,,,,,,,,,,,,,,
,220,,,,,,,,,,,,,,,,,,,,,
,221,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Puskesmas,,,,,Rumah Sakit yang dilatih Akupuntur dan Herbal,,,,,,,,,,,,,,,
,,Pelayanan Kesehatan Peduli Remaja (PKPR),Upaya Kesehatan Kerja,Upaya Kesehatan Olahraga,"Upaya Kesehatan Tradisional, Alternatif dan Komplementer",Tatalaksana Kasus Kekerasan terhadap Anak,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),,,,,,,,,,,,,,,
1,Aceh,153,47,37,41,90,5,,,,,,,,,,,,,,,
2,Sumatera Utara,171,134,13,99,910,6,,,,,,,,,,,,,,,
3,Sumatera Barat,112,8,26,26,45,7,,,,,,,,,,,,,,,
4,Riau,76,60,32,55,39,7,,,,,,,,,,,,,,,
5,Jambi,58,85,117,9,33,6,,,,,,,,,,,,,,,
6,Sumatera Selatan,132,86,36,70,33,5,,,,,,,,,,,,,,,
7,Bengkulu,87,-,127,32,52,3,,,,,,,,,,,,,,,
8,Lampung,111,107,27,51,90,4,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,52,49,33,29,23,4,,,,,,,,,,,,,,,
10,Kepulauan Riau,46,37,6,49,37,3,,,,,,,,,,,,,,,
11,DKI Jakarta,44,37,16,48,44,0,,,,,,,,,,,,,,,
12,Jawa Barat,524,712,75,50,140,11,,,,,,,,,,,,,,,
13,Jawa Tengah,285,39,123,88,256,12,,,,,,,,,,,,,,,
14,DI Yogyakarta,76,-,8,56,30,3,,,,,,,,,,,,,,,
15,Jawa Timur,283,611,71,61,184,8,,,,,,,,,,,,,,,
16,Banten,148,167,63,92,47,5,,,,,,,,,,,,,,,
17,Bali,84,91,62,82,43,4,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,83,90,29,40,27,3,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,146,-,4,17,137,3,,,,,,,,,,,,,,,
20,Kalimantan Barat,125,-,12,66,83,3,,,,,,,,,,,,,,,
21,Kalimantan Tengah,23,33,10,26,23,4,,,,,,,,,,,,,,,
22,Kalimantan Selatan,38,81,113,10,40,3,,,,,,,,,,,,,,,
23,Kalimantan Timur,36,43,7,41,47,1,,,,,,,,,,,,,,,
24,Kalimantan Utara,18,19,4,-,16,0,,,,,,,,,,,,,,,
25,Sulawesi Utara,52,-,42,45,59,2,,,,,,,,,,,,,,,
26,Sulawesi Tengah,8,36,4,12,22,2,,,,,,,,,,,,,,,
27,Sulawesi Selatan,105,215,116,135,59,4,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,49,22,4,28,25,2,,,,,,,,,,,,,,,
29,Gorontalo,24,75,33,27,15,4,,,,,,,,,,,,,,,
30,Sulawesi Barat,15,-,4,32,28,3,,,,,,,,,,,,,,,
31,Maluku,46,-,2,72,21,1,,,,,,,,,,,,,,,
32,Maluku Utara,9,-,4,13,14,1,,,,,,,,,,,,,,,
33,Papua Barat,24,8,1,7,40,2,,,,,,,,,,,,,,,
34,Papua,0,10,1,23,19,2,,,,,,,,,,,,,,,
Indonesia,,3.243,2.902,1.262,1.532,2.771,133,,,,,,,,,,,,,,,
No,Provinsi,Rumah Sakit Publik,,,,,,,,,,,,,,,Rumah Sakit Privat,,,,,
,,Kemenkes,,,Pemda,,,TNI/POLRI,,,Kementerian Lain,,,Swasta Non Profit,,,Swasta,,,BUMN,,
,,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah
(1),(2),(3),(4),(5),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24)
1,Aceh,0,0,0,24,2,26,5,0,5,0,0,0,16,0,16,15,1,16,3,0,3
2,Sumatera Utara,1,0,1,34,3,37,9,0,9,0,0,0,67,8,75,41,6,47,14,1,15
3,Sumatera Barat,1,1,2,19,2,21,4,0,4,0,0,0,11,9,20,4,13,17,1,0,1
4,Riau,0,0,0,16,2,18,4,0,4,1,0,1,4,1,5,27,10,37,3,0,3
5,Jambi,0,0,0,13,1,14,2,0,2,0,0,0,1,1,2,13,3,16,0,0,0
6,Sumatera Selatan,1,1,2,21,4,25,4,0,4,0,0,0,9,3,12,7,8,15,5,0,5
7,Bengkulu,0,0,0,12,1,13,3,0,3,0,0,0,2,0,2,2,0,2,0,0,0
8,Lampung,0,0,0,13,1,14,2,0,2,0,0,0,11,3,14,19,12,31,0,0,0
9,Kepulauan Bangka Belitung,0,0,0,9,1,10,0,0,0,0,0,0,3,0,3,3,1,4,0,0,0
10,Kepulauan Riau,0,0,0,11,0,11,2,0,2,0,0,0,4,2,6,4,1,5,1,0,1
11,DKI Jakarta,3,7,10,23,2,25,9,3,12,3,0,3,31,22,53,44,27,71,4,1,5
12,Jawa Barat,1,4,5,41,4,45,13,0,13,0,0,0,55,19,74,119,51,170,4,1,5
13,Jawa Tengah,2,3,5,51,5,56,12,0,12,1,1,2,103,26,129,49,25,74,2,0,2
14,DI Yogyakarta,1,0,1,7,2,9,4,0,4,0,0,0,26,13,39,15,5,20,0,1,1
15,Jawa Timur,0,1,1,58,9,67,29,2,31,1,0,1,86,30,116,79,53,132,11,2,13
16,Banten,0,1,1,10,0,10,2,0,2,0,0,0,11,5,16,35,23,58,1,0,1
17,Bali,1,0,1,9,2,11,3,0,3,0,0,0,15,3,18,18,4,22,0,0,0
18,Nusa Tenggara Barat,0,0,0,12,1,13,2,0,2,0,0,0,4,0,4,8,1,9,0,0,0
19,Nusa Tenggara Timur,0,0,0,19,0,19,5,0,5,0,0,0,13,4,17,3,0,3,0,0,0
20,Kalimantan Barat,0,0,0,16,3,19,6,0,6,0,0,0,7,0,7,7,5,12,0,0,0
21,Kalimantan Tengah,0,0,0,16,1,17,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0
22,Kalimantan Selatan,0,0,0,14,2,16,4,0,4,0,0,0,3,4,7,3,3,6,2,0,2
23,Kalimantan Timur,0,0,0,13,2,15,4,0,4,0,0,0,4,1,5,12,9,21,2,0,2
24,Kalimantan Utara,0,0,0,5,0,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
25,Sulawesi Utara,2,0,2,15,1,16,4,0,4,0,1,1,14,0,14,3,2,5,0,0,0
26,Sulawesi Tengah,0,0,0,16,1,17,2,0,2,0,0,0,4,4,8,1,3,4,0,0,0
27,Sulawesi Selatan,1,1,2,30,3,33,7,0,7,0,0,0,12,8,20,12,10,22,0,1,1
28,Sulawesi Tenggara,0,0,0,17,1,18,2,0,2,0,0,0,4,0,4,1,3,4,1,0,1
29,Gorontalo,0,0,0,9,0,9,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0
30,Sulawesi Barat,0,0,0,8,0,8,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
31,Maluku,0,0,0,15,1,16,4,0,4,0,0,0,7,0,7,0,0,0,0,0,0
32,Maluku Utara,0,0,0,13,0,13,2,0,2,0,0,0,4,0,4,0,0,0,0,0,0
33,Papua Barat,0,0,0,9,0,9,3,0,3,0,0,0,0,0,0,3,0,3,1,0,1
34,Papua,0,0,0,23,2,25,7,0,7,0,0,0,5,0,5,2,1,3,0,0,0
Indonesia,,14,19,33,621,59,680,162,5,167,6,2,8,538,167,705,553,280,833,55,7,62
No,Pengelola,Tahun 2011,,Tahun 2012,,Tahun 2013,,Tahun 2014,,Tahun 2015,,,,,,,,,,,,
,,RS,TT,RS,TT,RS,TT,RS,TT,RS,TT,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,
1,Kementerian Kesehatan,14,9.724,14,10.832,14,11.028,14,10.673,14,11.343,,,,,,,,,,,
2,Pemerintah Provinsi,47,14.065,49,16.292,53,18.526,52,17.030,68,20.832,,,,,,,,,,,
3,Pemerintah Kab/Kota,472,52.536,508,74.741,525,84.694,537,81.954,553,95.254,,,,,,,,,,,
4,TNI/POLRI,132,12.272,151,19.830,155,20.832,163,20.312,162,21.887,,,,,,,,,,,
5,Kementerian Lain dan BUMN,73,8.535,71,8.040,63,7.444,65,7.285,61,7.507,,,,,,,,,,,
6,Swasta dan Swasta Non Profit,634,52.694,815,74.033,915,102.816,1.024,99.356,1.091,117.193,,,,,,,,,,,
Jumlah,,1.372,149.826,1.608,203.768,1.725,245.340,1.855,236.610,1.949,274.016,,,,,,,,,,,
No,Jenis Rumah Sakit,Tahun 2011,,Tahun 2012,,Tahun 2013,,Tahun 2014,,Tahun 2015,,,,,,,,,,,,
,,RS,TT,RS,TT,RS,TT,RS,TT,RS,TT,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,
1,RS Jiwa,52,7.541,53,8.542,51,10.349,51,10.585,45,10.394,,,,,,,,,,,
2,RS Kusta,23,1.854,22,1.989,18,2.048,16,1.807,13,1.631,,,,,,,,,,,
3,RS Tuberkulosa Paru,10,778,12,915,11,919,12,933,11,934,,,,,,,,,,,
4,RS Mata,13,519,14,520,15,647,18,637,20,747,,,,,,,,,,,
5,RS Bersalin,65,2.334,94,3.150,99,3.457,113,3.631,106,3.970,,,,,,,,,,,
6,RS Ibu dan Anak,114,5.267,169,7.697,159,8.147,233,10.761,178,9.018,,,,,,,,,,,
7,RS Khusus Lainnya,72,2.537,111,4.851,150,7.543,108,4.779,166,8.436,,,,,,,,,,,
Jumlah,,349,20.830,475,27.664,503,33.110,551,33.133,539,35.130,,,,,,,,,,,
No,Provinsi,Jumlah Penduduk 2015,Kelas A,,,Kelas B,,,Kelas C,,,Kelas D,,,Belum Ditetapkan Kelas,,,Total,,,,
,,,RS,,TT,RS,,TT,RS,,TT,RS,,TT,RS,,TT,RS,TT,,,
,,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,,Jumlah,Rasio,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),,
1,Aceh,5.001.953,2,"3,03",924,7,"10,61",1.943,25,"37,88",3.269,7,"10,61",538,25,"37,88",1.650,66,8.324,"1,66",,
2,Sumatera Utara,13.937.797,1,"0,54",745,27,"14,67",7.032,59,"32,07",7.332,21,"11,41",1.841,76,"41,30",5.348,184,22.298,"1,60",,
3,Sumatera Barat,5.196.289,1,"1,54",316,5,"7,69",1.698,28,"43,08",3.467,9,"13,85",633,22,"33,85",846,65,6.960,"1,34",,
4,Riau,6.344.402,1,"1,47",182,8,"11,76",2.056,26,"38,24",2.797,17,"25,00",1.010,16,"23,53",665,68,6.710,"1,06",,
5,Jambi,3.402.052,0,"0,00",0,4,"11,76",1.103,18,"52,94",2.035,6,"17,65",459,6,"17,65",286,34,3.883,"1,14",,
6,Sumatera Selatan,8.052.315,3,"4,76",1568,5,"7,94",1.082,26,"41,27",3.902,13,"20,63",961,16,"25,40",995,63,8.508,"1,06",,
7,Bengkulu,1.874.944,0,"0,00",0,2,"10,00",748,7,"35,00",801,8,"40,00",450,3,"15,00",249,20,2.248,"1,20",,
8,Lampung,8.117.268,0,"0,00",0,5,"8,20",1.585,27,"44,26",3.289,12,"19,67",890,17,"27,87",1.256,61,7.020,"0,86",,
9,Kepulauan Bangka Belitung,1.372.813,0,"0,00",0,1,"5,88",125,10,"58,82",1.184,4,"23,53",341,2,"11,76",46,17,1.696,"1,24",,
10,Kepulauan Riau,1.973.043,0,"0,00",0,6,"24,00",1.257,12,"48,00",1.324,2,"8,00",109,5,"20,00",136,25,2.826,"1,43",,
11,DKI Jakarta,10.177.924,11,"6,15",5074,44,"24,58",10.843,37,"20,67",3.099,19,"10,61",1.029,68,"37,99",4.651,179,24.696,"2,43",,
12,Jawa Barat,46.709.569,9,"2,88",2845,50,"16,03",13.305,126,"40,38",14.146,40,"12,82",2.940,87,"27,88",6.072,312,39.308,"0,84",,
13,Jawa Tengah,33.774.141,8,"2,86",3880,33,"11,79",11.587,105,"37,50",14.734,73,"26,07",5.645,61,"21,79",3.610,280,39.456,"1,17",,
14,DI Yogyakarta,3.679.176,3,"4,05",1097,12,"16,22",2.674,11,"14,86",879,24,"32,43",1.404,24,"32,43",4.779,74,10.833,"2,94",,
15,Jawa Timur,38.847.561,5,"1,39",4521,37,"10,25",10.392,82,"22,71",12.027,42,"11,63",3.192,195,"54,02",11.297,361,41.429,"1,07",,
16,Banten,11.955.243,1,"1,14",228,18,"20,45",4.476,35,"39,77",3.869,7,"7,95",620,27,"30,68",1.775,88,10.968,"0,92",,
17,Bali,4.152.833,3,"5,45",1260,6,"10,91",1.567,19,"34,55",2.372,10,"18,18",788,17,"30,91",858,55,6.845,"1,65",,
18,Nusa Tenggara Barat,4.835.577,0,"0,00",0,3,"10,71",671,13,"46,43",1.803,7,"25,00",804,5,"17,86",230,28,3.508,"0,73",,
19,Nusa Tenggara Timur,5.120.061,0,"0,00",0,1,"2,27",376,15,"34,09",2.004,18,"40,91",1.469,10,"22,73",675,44,4.524,"0,88",,
20,Kalimantan Barat,5.493.891,1,"2,27",482,4,"9,09",1.208,18,"40,91",2.386,8,"18,18",760,13,"29,55",772,44,5.608,"1,02",,
21,Kalimantan Tengah,1.790.718,0,"0,00",0,2,"10,00",562,7,"35,00",886,6,"30,00",425,5,"25,00",210,20,2.083,"1,16",,
22,Kalimantan Selatan,3.989.793,2,"5,71",1232,4,"11,43",784,17,"48,57",2.204,4,"11,43",328,8,"22,86",275,35,4.823,"1,21",,
23,Kalimantan Timur,3.426.638,2,"4,26",1229,7,"14,89",1.760,17,"36,17",2.449,6,"12,77",352,15,"31,91",650,47,6.440,"1,88",,
24,Kalimantan Utara,641.936,0,"0,00",0,1,"14,29",306,3,"42,86",520,3,"42,86",113,0,"0,00",0,7,939,"1,46",,
25,Sulawesi Utara,2.412.118,1,"2,38",1017,1,"2,38",287,16,"38,10",2.364,6,"14,29",448,18,"42,86",1.387,42,5.503,"2,28",,
26,Sulawesi Tengah,2.876.689,0,"0,00",0,3,"9,68",1.207,12,"38,71",1.837,6,"19,35",420,10,"32,26",557,31,4.021,"1,40",,
27,Sulawesi Selatan,8.520.304,3,"3,53",1555,22,"25,88",5.298,29,"34,12",4.417,8,"9,41",564,23,"27,06",1.036,85,12.870,"1,51",,
28,Sulawesi Tenggara,2.499.540,0,"0,00",0,2,"6,90",603,10,"34,48",1.008,6,"20,69",387,11,"37,93",500,29,2.498,"1,00",,
29,Gorontalo,1.133.237,0,"0,00",0,2,"16,67",711,3,"25,00",387,2,"16,67",174,5,"41,67",303,12,1.575,"1,39",,
30,Sulawesi Barat,1.282.162,0,"0,00",0,0,"0,00",0,2,"20,00",410,1,"10,00",111,7,"70,00",481,10,1.002,"0,78",,
31,Maluku,1.686.469,0,"0,00",0,3,"11,11",665,5,"18,52",599,12,"44,44",751,7,"25,93",402,27,2.417,"1,43",,
32,Maluku Utara,1.162.345,0,"0,00",0,1,"5,26",328,3,"15,79",352,7,"36,84",530,8,"42,11",290,19,1.500,"1,29",,
