,,Tar,get Renstra 2,019 : 85%,,,,,,,,,,,,,,,
,,,,,,"9 9 81,82 68","6,34 6,00",,,,,,,,,,,,
,Target,Ren,stra,,,,,,,,,,,,,,,,
,2019:,36,%,,,,,,,,,,,,,,,,
,,,"5 5 43,64 42,73 6,36",,,,,,,,,,,,,,,,
,,3 41 9 0,,,,,,,,,,,,,,,,,
,,,,,"78,02","100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 100,00 ,74 1 1",,,,,,,,,,,,,
,"13,",,,,,,,,,,,,,,,,,,
No,Fasilitas Kesehatan,Pemilikan/Pengelola,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN,,Swasta,,Jumlah,,,,,
,,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),,,,
1,Aceh,0,0,1,2,24,0,5,0,2,0,32,3,64,5,,,,
2,Sumatera Utara,1,0,2,4,34,0,9,0,10,1,134,22,190,27,,,,
3,Sumatera Barat,1,1,3,2,20,0,4,0,2,0,19,26,49,29,,,,
4,Riau,0,0,2,1,16,0,4,0,3,1,35,12,60,14,,,,
5,Jambi,0,0,1,1,13,0,2,0,0,0,20,3,36,4,,,,
6,Sumatera Selatan,2,0,1,4,30,0,4,0,3,0,27,13,67,17,,,,
7,Bengkulu,0,0,1,1,12,0,3,0,0,0,6,1,22,2,,,,
8,Lampung,0,0,2,1,15,0,2,0,0,0,37,21,56,22,,,,
9,Kepulauan Bangka Belitung,0,0,1,1,10,0,0,0,0,0,10,3,21,4,,,,
10,Kepulauan Riau,0,0,2,0,10,0,3,0,1,0,12,5,28,5,,,,
11,DKI Jakarta,3,7,30,1,0,0,9,2,8,1,88,41,138,52,,,,
12,Jawa Barat,1,4,3,2,46,2,14,0,4,1,227,57,295,66,,,,
13,Jawa Tengah,2,3,4,3,49,1,12,0,3,1,189,37,259,45,,,,
14,DI Yogyakarta,1,0,0,2,8,0,3,0,0,1,48,20,60,23,,,,
15,Jawa Timur,0,1,8,6,58,0,23,2,5,2,202,77,296,88,,,,
16,Banten,1,0,2,0,10,0,3,0,1,0,65,34,82,34,,,,
17,Bali,1,0,1,2,14,0,3,0,1,0,38,8,58,10,,,,
18,Nusa Tenggara Barat,0,0,2,2,13,0,2,0,0,0,15,3,32,5,,,,
19,Nusa Tenggara Timur,0,0,1,1,22,0,5,0,0,0,21,2,49,3,,,,
20,Kalimantan Barat,0,0,1,2,19,0,5,0,1,0,16,7,42,9,,,,
21,Kalimantan Tengah,0,0,1,0,16,1,2,0,0,0,5,1,24,2,,,,
22,Kalimantan Selatan,0,0,2,2,15,0,4,0,2,0,14,7,37,9,,,,
23,Kalimantan Timur,0,0,3,1,16,1,4,0,1,0,20,9,44,11,,,,
24,Kalimantan Utara,0,0,1,0,7,0,1,0,0,0,1,0,10,0,,,,
25,Sulawesi Utara,2,0,3,2,15,0,4,0,0,1,17,3,41,6,,,,
26,Sulawesi Tengah,0,0,2,0,21,0,3,0,1,0,6,5,33,5,,,,
27,Sulawesi Selatan,2,0,3,4,32,0,7,1,1,1,36,24,81,30,,,,
28,Sulawesi Tenggara,0,0,1,1,17,0,2,0,1,0,14,0,35,1,,,,
29,Gorontalo,0,0,1,0,9,0,0,0,0,0,3,1,13,1,,,,
30,Sulawesi Barat,0,0,1,0,6,0,1,0,0,0,3,1,11,1,,,,
31,Maluku,1,0,2,1,15,0,4,0,0,0,7,0,29,1,,,,
32,Maluku Utara,0,0,2,1,11,0,2,0,0,0,5,0,20,1,,,,
33,Papua Barat,0,0,0,0,10,0,5,0,1,0,3,0,19,0,,,,
34,Papua,0,0,2,1,27,0,5,0,0,0,9,0,43,1,,,,
Indonesia,,18,16,92,51,640,5,159,5,51,10,1.384,446,2.344,533,,,,
No,Provinsi,Jumlah Rumah Sakit,Rumah Sakit Pemerintah Terakreditasi,Rumah Sakit Swasta Terakreditasi,TOTAL RS PROVINSI,Total Rumah Sakit Terakreditasi,Persentase Rumah Sakit Terakreditasi,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(6),(7),,,,,,,,,,,,
1,Aceh,69,32,33,65,65,"94,20",,,,,,,,,,,,
2,Sumatera Utara,218,45,118,163,163,"74,77",,,,,,,,,,,,
3,Sumatera Barat,78,28,37,65,65,"83,33",,,,,,,,,,,,
4,Riau,74,21,41,62,62,"83,78",,,,,,,,,,,,
5,Jambi,40,16,17,33,33,"82,50",,,,,,,,,,,,
6,Sumatera Selatan,84,32,33,65,65,"77,38",,,,,,,,,,,,
7,Bengkulu,24,15,6,21,21,"87,50",,,,,,,,,,,,
8,Lampung,78,18,47,65,65,"83,33",,,,,,,,,,,,
9,Kepulauan Bangka Belitung,25,10,8,18,18,"72,00",,,,,,,,,,,,
10,Kepulauan Riau,33,14,15,29,29,"87,88",,,,,,,,,,,,
11,DKI Jakarta,190,54,113,167,167,"87,89",,,,,,,,,,,,
12,Jawa Barat,361,68,254,322,322,"89,20",,,,,,,,,,,,
13,Jawa Tengah,304,75,198,273,273,"89,80",,,,,,,,,,,,
14,DI Yogyakarta,83,14,54,68,68,"81,93",,,,,,,,,,,,
15,Jawa Timur,384,99,251,350,350,"91,15",,,,,,,,,,,,
16,Banten,116,14,82,96,96,"82,76",,,,,,,,,,,,
17,Bali,68,21,43,64,64,"94,12",,,,,,,,,,,,
18,Nusa Tenggara Barat,37,18,14,32,32,"86,49",,,,,,,,,,,,
19,Nusa Tenggara Timur,52,24,21,45,45,"86,54",,,,,,,,,,,,
20,Kalimantan Barat,51,25,20,45,45,"88,24",,,,,,,,,,,,
21,Kalimantan Tengah,26,19,3,22,22,"84,62",,,,,,,,,,,,
22,Kalimantan Selatan,46,22,20,42,42,"91,30",,,,,,,,,,,,
23,Kalimantan Timur,55,20,23,43,43,"78,18",,,,,,,,,,,,
24,Kalimantan Utara,10,7,1,8,8,"80,00",,,,,,,,,,,,
25,Sulawesi Utara,47,22,19,41,41,"87,23",,,,,,,,,,,,
26,Sulawesi Tengah,38,20,10,30,30,"78,95",,,,,,,,,,,,
27,Sulawesi Selatan,111,46,48,94,94,"84,68",,,,,,,,,,,,
28,Sulawesi Tenggara,36,21,9,30,30,"83,33",,,,,,,,,,,,
29,Gorontalo,14,8,4,12,12,"85,71",,,,,,,,,,,,
30,Sulawesi Barat,12,8,1,9,9,"75,00",,,,,,,,,,,,
31,Maluku,30,18,5,23,23,"76,67",,,,,,,,,,,,
32,Maluku Utara,21,13,4,17,17,"80,95",,,,,,,,,,,,
33,Papua Barat,19,11,3,14,14,"73,68",,,,,,,,,,,,
34,Papua,44,26,6,32,32,"72,73",,,,,,,,,,,,
donesia,,2.878,904,1.561,2.465,2.465,"85,65",,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit Kabupaten/Kota Kelas C yang Melaporkan Data,Jumlah RS yang Memiliki 4 Dokter Spesialis Dasar dan 3 Dokter Spesialis Penunjang,%,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,
1,Aceh,15,7,47,,,,,,,,,,,,,,,
2,Sumatera Utara,21,19,90,,,,,,,,,,,,,,,
3,Sumatera Barat,15,9,60,,,,,,,,,,,,,,,
4,Riau,11,10,91,,,,,,,,,,,,,,,
5,Jambi,9,4,44,,,,,,,,,,,,,,,
6,Sumatera Selatan,9,4,44,,,,,,,,,,,,,,,
7,Bengkulu,7,3,43,,,,,,,,,,,,,,,
8,Lampung,12,9,75,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,7,3,43,,,,,,,,,,,,,,,
10,Kepulauan Riau,5,3,60,,,,,,,,,,,,,,,
11,DKI Jakarta*,1,1,100,,,,,,,,,,,,,,,
12,Jawa Barat,14,11,79,,,,,,,,,,,,,,,
13,Jawa Tengah,27,20,74,,,,,,,,,,,,,,,
14,DI Yogyakarta,4,3,75,,,,,,,,,,,,,,,
15,Jawa Timur,25,20,80,,,,,,,,,,,,,,,
16,Banten,4,2,50,,,,,,,,,,,,,,,
17,Bali,3,2,67,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,10,8,80,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,17,5,29,,,,,,,,,,,,,,,
20,Kalimantan Barat,12,6,50,,,,,,,,,,,,,,,
21,Kalimantan Tengah,12,4,33,,,,,,,,,,,,,,,
22,Kalimantan Selatan,11,8,73,,,,,,,,,,,,,,,
23,Kalimantan Timur,9,5,56,,,,,,,,,,,,,,,
24,Kalimantan Utara,4,3,75,,,,,,,,,,,,,,,
25,Sulawesi Utara,10,5,50,,,,,,,,,,,,,,,
26,Sulawesi Tengah,12,7,58,,,,,,,,,,,,,,,
27,Sulawesi Selatan,22,14,64,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,9,5,56,,,,,,,,,,,,,,,
29,Gorontalo,5,2,40,,,,,,,,,,,,,,,
30,Sulawesi Barat,4,3,75,,,,,,,,,,,,,,,
31,Maluku,5,0,0,,,,,,,,,,,,,,,
32,Maluku Utara,5,2,40,,,,,,,,,,,,,,,
33,Papua Barat,6,2,33,,,,,,,,,,,,,,,
34,Papua,8,7,88,,,,,,,,,,,,,,,
ndonesia,,350,216,62,,,,,,,,,,,,,,,
No,Provinsi,Kelas A,,,Kelas B,,,Kelas C,,,Kelas D dan Kelas D Pratama,,,Belum Ditetapkan Kelas,,,,,
,,RS,,TT,RS,,TT,RS,,TT,RS,,TT,RS,,TT,,,
,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,,,
(1),(2),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,
1,Aceh,2,"2,90",1.092,10,"14,49",2.687,31,"44,93",3.378,25,"36,23",1.377,1,"1,45",42,,,
2,Sumatera Utara,2,"0,92",1.248,30,"13,82",6.928,120,"55,30",11.229,55,"25,35",2.407,10,"4,61",167,,,
3,Sumatera Barat,2,"2,56",1.114,6,"7,69",960,50,"64,10",4.115,17,"21,79",854,3,"3,85",-,,,
4,Riau,1,"1,35",230,7,"9,46",1.799,41,"55,41",3.631,24,"32,43",1.151,1,"1,35",-,,,
5,Jambi,-,-,-,4,"10,00",1.041,25,"62,50",2.600,11,"27,50",397,-,-,-,,,
6,Sumatera Selatan,2,"2,38",1.169,8,"9,52",1.544,41,"48,81",4.359,31,"36,90",1.883,2,"2,38",41,,,
7,Bengkulu,-,-,-,2,"8,33",638,13,"54,17",1.491,9,"37,50",489,-,-,-,,,
8,Lampung,1,"1,28",610,5,"6,41",1.152,54,"69,23",4.902,18,"23,08",976,-,-,-,,,
9,Kep. Bangka Belitung,-,-,-,2,"8,00",255,15,"60,00",1.481,8,"32,00",325,-,-,-,,,
10,Kepulauan Riau,-,-,-,6,"18,18",1.159,19,"57,58",1.557,7,"21,21",295,1,"3,03",37,,,
11,DKI Jakarta,17,"8,95",6.580,71,"37,37",11.440,72,"37,89",4.542,28,"14,74",1.091,2,"1,05",11,,,
12,Jawa Barat,7,"1,94",2.381,70,"19,39",16.666,206,"57,06",19.596,73,"20,22",4.073,5,"1,39",326,,,
13,Jawa Tengah,9,"2,96",4.173,34,"11,18",11.371,135,"44,41",16.994,126,"41,45",8.383,-,-,-,,,
14,DI Yogyakarta,3,"3,61",1.106,12,"14,46",2.435,31,"37,35",1.638,35,"42,17",1.399,2,"2,41",-,,,
15,Jawa Timur,5,"1,30",4.134,58,"15,10",14.474,183,"47,66",17.007,134,"34,90",8.367,4,"1,04",87,,,
16,Banten,-,-,-,23,"19,83",5.027,82,"70,69",5.621,8,"6,90",524,3,"2,59",50,,,
17,Bali,3,"4,41",1.199,11,"16,18",2.015,41,"60,29",3.106,13,"19,12",593,-,-,-,,,
18,Nusa Tenggara Barat,-,-,-,3,"8,11",804,19,"51,35",2.064,15,"40,54",899,-,-,-,,,
19,Nusa Tenggara Timur,-,-,-,2,"3,85",457,26,"50,00",2.759,23,"44,23",1.295,1,"1,92",20,,,
20,Kalimantan Barat,-,-,-,5,"9,80",1.629,31,"60,78",3.255,14,"27,45",613,1,"1,96",10,,,
21,Kalimantan Tengah,-,-,-,3,"11,54",845,17,"65,38",1.419,6,"23,08",292,-,-,-,,,
22,Kalimantan Selatan,2,"4,35",930,6,"13,04",992,29,"63,04",2.818,9,"19,57",390,-,-,-,,,
23,Kalimantan Timur,1,"1,82",190,7,"12,73",2.351,28,"50,91",2.657,18,"32,73",893,1,"1,82",-,,,
24,Kalimantan Utara,-,-,-,1,"10,00",392,4,"40,00",545,5,"50,00",148,-,-,-,,,
25,Sulawesi Utara,1,"2,13",942,3,"6,38",454,25,"53,19",2.980,16,"34,04",971,2,"4,26",31,,,
26,Sulawesi Tengah,-,-,-,3,"7,89",1.027,25,"65,79",3.007,10,"26,32",375,-,-,-,,,
27,Sulawesi Selatan,2,"1,80",1.530,25,"22,52",5.272,63,"56,76",6.528,18,"16,22",892,3,"2,70",11,,,
28,Sulawesi Tenggara,-,-,-,2,"5,56",664,14,"38,89",1.467,17,"47,22",631,3,"8,33",60,,,
29,Gorontalo,-,-,-,2,"14,29",671,6,"42,86",821,6,"42,86",509,-,-,-,,,
30,Sulawesi Barat,-,-,-,-,-,-,6,"50,00",1.022,4,"33,33",244,2,"16,67",-,,,
31,Maluku,-,-,-,4,"13,33",596,7,"23,33",712,18,"60,00",818,1,"3,33",-,,,
