No,Fasilitas Kesehatan,Pemilikan/Pengelola,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN/Kementerian Lain*,,Swasta,,Jumlah,,,,,
,,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),,,,
1,Aceh,,,1,2,24,,5,,2,,32,4,64,6,,,,
2,Sumatera Utara,1,,2,4,36,,9,,10,1,139,20,197,25,,,,
3,Sumatera Barat,1,1,3,2,20,1,4,,2,,19,26,49,30,,,,
4,Riau,,,2,1,16,,4,,3,,33,14,58,15,,,,
5,Jambi,,,1,1,14,,2,,,,21,3,38,4,,,,
6,Sumatera Selatan,2,,1,4,30,,4,,3,,28,15,68,19,,,,
7,Bengkulu,,,1,1,12,,3,,,,7,1,23,2,,,,
8,Lampung,,,2,1,16,,2,,,,39,20,59,21,,,,
9,Kepulauan Bangka Belitung,,,1,1,10,,,,,,10,3,21,4,,,,
10,Kepulauan Riau,,,2,,11,,3,,1,1,13,5,30,6,,,,
11,DKI Jakarta,3,7,30,1,,,9,2,9,1,91,40,142,51,,,,
12,Jawa Barat,1,4,4,2,49,3,15,,4,1,239,55,312,65,,,,
13,Jawa Tengah,3,3,4,3,56,,11,,3,1,198,37,275,44,,,,
14,DI Yogyakarta,1,,,2,9,,3,,,1,48,21,61,24,,,,
15,Jawa Timur,,1,11,5,61,,23,2,5,2,206,79,306,89,,,,
16,Banten,1,,2,,11,,3,,1,,68,34,86,34,,,,
17,Bali,1,,1,2,15,,3,,1,,40,9,61,11,,,,
18,Nusa Tenggara Barat,,,2,2,14,,2,,,,16,3,34,5,,,,
19,Nusa Tenggara Timur,,,1,1,24,,5,,,,21,2,51,3,,,,
20,Kalimantan Barat,,,1,2,22,,5,,1,,17,7,46,9,,,,
21,Kalimantan Tengah,,,1,1,16,,2,,,,6,2,25,3,,,,
22,Kalimantan Selatan,,,2,2,15,,4,,2,,16,6,39,8,,,,
23,Kalimantan Timur,,,3,2,16,1,4,,1,,22,8,46,11,,,,
24,Kalimantan Utara,,,1,,8,,1,,,,1,,11,0,,,,
25,Sulawesi Utara,2,,3,2,15,,4,,,1,21,3,45,6,,,,
26,Sulawesi Tengah,,,2,,23,,3,,1,,6,5,35,5,,,,
27,Sulawesi Selatan,2,,3,4,35,1,7,1,1,1,39,22,87,29,,,,
28,Sulawesi Tenggara,,,1,1,17,,2,,1,,15,,36,1,,,,
29,Gorontalo,,,1,,10,,,,,,4,1,15,1,,,,
30,Sulawesi Barat,,,1,,7,,1,,,,3,1,12,1,,,,
31,Maluku,1,,2,2,16,,4,,,,8,,31,2,,,,
32,Maluku Utara,,,2,1,11,,2,,,,5,,20,1,,,,
33,Papua Barat,,,1,,10,,5,,1,,3,,20,0,,,,
34,Papua,,,2,1,27,,6,,,,11,,46,1,,,,
Indonesia,,19,16,97,53,676,6,160,5,52,10,1.445,446,2.449,536,,,,
"Sumber: Ditjen. Pelayanan Kesehatan, Kemenkes RI, 2021 per 2 Januari 2021 Keterangan: *RS BUMN/KL termasuk RS Darurat Covid-19 Wisma Atlet",,,,,,,,,,,,,,,,,,,
No,Provinsi,Kelas A,,,Kelas B,,,Kelas C,,,Kelas D dan Kelas D Pratama,,,Belum Ditetapkan Kelas,,,,,
,,RS,,TT,RS,,TT,RS,,TT,RS,,TT,RS,,TT,,,
,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,,,
(1),(2),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,
1,Aceh,2,"2,9",1.196,10,"14,3",2.645,33,"47,1",4.123,24,"34,3",1.305,1,"1,4",42,,,
2,Sumatera Utara,2,"0,9",1.247,31,"14,0",8.006,119,"53,6",12.501,60,"27,0",2.671,10,"4,5",413,,,
3,Sumatera Barat,2,"2,5",1.381,6,"7,6",992,50,"63,3",4.779,17,"21,5",940,4,"5,1",0,,,
4,Riau,1,"1,4",282,7,"9,6",2.106,43,"58,9",4.994,22,"30,1",1.085,,"0,0",,,,
5,Jambi,,"0,0",,4,"9,5",1.007,25,"59,5",3.156,13,"31,0",538,,"0,0",,,,
6,Sumatera Selatan,2,"2,3",1.382,8,"9,2",1.965,48,"55,2",5.575,28,"32,2",1.650,1,"1,1",11,,,
7,Bengkulu,,"0,0",,2,"8,0",668,14,"56,0",1.787,9,"36,0",449,,"0,0",,,,
8,Lampung,1,"1,3",658,5,"6,3",1.326,55,"68,8",5.324,19,"23,8",1.083,,"0,0",,,,
9,Kep. Bangka Belitung,,"0,0",,2,"8,0",264,15,"60,0",1.579,8,"32,0",317,,"0,0",,,,
10,Kepulauan Riau,,"0,0",,6,"16,7",1.389,20,"55,6",1.895,9,"25,0",428,1,"2,8",0,,,
11,DKI Jakarta,17,"8,8",7.406,70,"36,3",14.138,76,"39,4",6.124,27,"14,0",4.497,3,"1,6",119,,,
12,Jawa Barat,8,"2,1",2.874,69,"18,3",20.992,226,"59,9",25.935,70,"18,6",4.084,4,"1,1",252,,,
13,Jawa Tengah,9,"2,8",4.847,34,"10,7",12.437,141,"44,2",20.520,133,"41,7",10.082,2,"0,6",37,,,
14,DI Yogyakarta,2,"2,4",941,13,"15,3",2.679,33,"38,8",2.017,35,"41,2",1.582,2,"2,4",0,,,
15,Jawa Timur,5,"1,3",4.588,60,"15,2",17.696,192,"48,6",19.457,132,"33,4",9.236,6,"1,5",527,,,
16,Banten,,"0,0",,23,"19,2",5.912,86,"71,7",7.357,8,"6,7",562,3,"2,5",50,,,
17,Bali,3,"4,2",1.195,11,"15,3",2.122,46,"63,9",4.253,12,"16,7",613,,"0,0",,,,
18,Nusa Tenggara Barat,,"0,0",,4,"10,3",1.243,18,"46,2",2.136,17,"43,6",1.131,,"0,0",,,,
19,Nusa Tenggara Timur,,"0,0",,2,"3,7",440,26,"48,1",3.091,25,"46,3",1.503,1,"1,9",18,,,
20,Kalimantan Barat,,"0,0",,5,"9,1",1.537,31,"56,4",3.531,18,"32,7",844,1,"1,8",10,,,
21,Kalimantan Tengah,,"0,0",,4,"14,3",1.315,16,"57,1",2.010,7,"25,0",472,1,"3,6",88,,,
22,Kalimantan Selatan,2,"4,3",1.027,6,"12,8",1.289,29,"61,7",3.410,10,"21,3",461,,"0,0",,,,
23,Kalimantan Timur,1,"1,8",190,5,"8,8",2.547,32,"56,1",3.773,19,"33,3",1.041,,"0,0",,,,
24,Kalimantan Utara,,"0,0",,1,"9,1",314,4,"36,4",665,6,"54,5",198,,"0,0",,,,
25,Sulawesi Utara,1,"2,0",1.057,4,"7,8",650,28,"54,9",3.713,16,"31,4",1.259,2,"3,9",27,,,
26,Sulawesi Tengah,,"0,0",,4,"10,0",1.446,24,"60,0",2.927,12,"30,0",460,,"0,0",,,,
27,Sulawesi Selatan,2,"1,7",2.131,29,"25,0",6.930,59,"50,9",6.634,23,"19,8",1.017,3,"2,6",11,,,
28,Sulawesi Tenggara,,"0,0",,2,"5,4",785,15,"40,5",1.943,17,"45,9",708,3,"8,1",60,,,
29,Gorontalo,,"0,0",,2,"12,5",679,6,"37,5",982,8,"50,0",674,,"0,0",,,,
30,Sulawesi Barat,,"0,0",,,"0,0",,6,"46,2",1.193,5,"38,5",303,2,"15,4",0,,,
31,Maluku,,"0,0",,4,"12,1",998,8,"24,2",1.005,19,"57,6",1.046,2,"6,1",60,,,
32,Maluku Utara,,"0,0",,1,"4,8",276,5,"23,8",639,13,"61,9",659,2,"9,5",34,,,
33,Papua Barat,,"0,0",,,"0,0",,7,"35,0",1.234,11,"55,0",868,2,"10,0",58,,,
34,Papua,,"0,0",,2,"4,3",498,14,"29,8",2.686,25,"53,2",1.101,6,"12,8",223,,,
