- Ansar. 2017. Problematika Alokasi dan Distribusi Anggaran Kesehatan pada Dinas Kesehatan,,,,,,,,,,,,,,,,,,,
"Provinsi Sulawesi Tengah. Kanun Jurnal Ilmu Hukum,","Vol 19, No 2",.,,,,,,,,,,,,,,,,,
http://www.jurnal.unsyiah.ac.id/kanun/article/view/6850,,,,,,,,,,,,,,,,,,,
No,Fasilitas Kesehatan,Pemilikan/Pengelola,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN/Kementerian Lain*,,Swasta,,Jumlah,,,,,
,,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),,,,
1,Aceh,0,0,1,2,25,0,5,0,3,0,32,4,66,6,,,,
2,Sumatera Utara,1,0,2,4,36,0,9,0,10,1,138,21,196,26,,,,
3,Sumatera Barat,1,1,3,2,22,0,4,0,2,0,19,26,51,29,,,,
4,Riau,0,0,2,1,16,0,4,0,3,0,36,14,61,15,,,,
5,Jambi,0,0,1,1,14,0,2,0,0,0,21,2,38,3,,,,
6,Sumatera Selatan,2,0,1,4,30,0,4,0,3,0,28,15,68,19,,,,
7,Bengkulu,0,0,1,1,12,0,3,0,0,0,8,1,24,2,,,,
8,Lampung,0,0,2,1,16,0,2,0,0,0,40,19,60,20,,,,
9,Kepulauan Bangka Belitung,0,0,1,1,11,0,1,0,0,0,10,3,23,4,,,,
10,Kepulauan Riau,0,0,2,0,11,0,3,0,1,0,14,5,31,5,,,,
11,DKI Jakarta,3,7,30,1,0,0,9,2,8,1,93,39,143,50,,,,
12,Jawa Barat,1,4,4,2,51,3,15,0,4,1,254,49,329,59,,,,
13,Jawa Tengah,3,3,4,3,56,1,11,0,3,1,202,37,279,45,,,,
14,DI Yogyakarta,1,0,0,2,9,0,3,0,0,1,47,18,60,21,,,,
15,Jawa Timur,0,1,10,4,61,0,24,1,5,2,218,74,318,82,,,,
16,Banten,1,0,2,0,12,0,3,0,1,0,75,29,94,29,,,,
17,Bali,1,0,1,2,15,0,3,0,1,0,41,9,62,11,,,,
18,Nusa Tenggara Barat,0,0,2,2,16,0,2,0,0,0,17,4,37,6,,,,
19,Nusa Tenggara Timur,0,0,1,1,25,0,5,0,0,0,22,2,53,3,,,,
20,Kalimantan Barat,0,0,1,1,21,0,5,0,1,0,17,7,45,8,,,,
21,Kalimantan Tengah,0,0,1,1,18,0,2,0,0,0,6,2,27,3,,,,
22,Kalimantan Selatan,0,0,2,2,15,0,4,0,2,0,19,8,42,10,,,,
23,Kalimantan Timur,0,0,3,2,17,1,4,0,1,0,22,10,47,13,,,,
24,Kalimantan Utara,0,0,1,0,8,0,2,0,1,0,0,0,12,0,,,,
25,Sulawesi Utara,2,0,3,2,15,1,4,0,0,2,21,3,45,8,,,,
26,Sulawesi Tengah,0,0,2,0,23,0,3,0,1,0,6,5,35,5,,,,
27,Sulawesi Selatan,2,1,3,4,36,1,7,1,1,1,41,22,90,30,,,,
28,Sulawesi Tenggara,0,0,1,1,17,0,2,0,1,0,16,0,37,1,,,,
29,Gorontalo,0,0,1,0,10,0,1,0,0,0,4,1,16,1,,,,
30,Sulawesi Barat,0,0,1,0,7,0,1,0,0,0,3,2,12,2,,,,
31,Maluku,1,0,2,1,17,0,4,0,0,0,8,0,32,1,,,,
32,Maluku Utara,0,0,2,1,12,0,2,0,0,0,4,1,20,2,,,,
33,Papua Barat,0,0,1,0,13,0,5,0,1,0,3,0,23,0,,,,
34,Papua,0,0,2,1,27,0,6,0,0,0,11,0,46,1,,,,
Indonesia,,19,17,96,50,694,7,164,4,53,10,1.496,432,2.522,520,,,,
"Sumber: Ditjen. Pelayanan Kesehatan, Kemenkes RI, 2022 per 2 Januari 2022 Keterangan: *RS BUMN/KL termasuk RS Darurat Covid-19 Wisma Atlet",,,,,,,,,,,,,,,,,,,
No,Provinsi,Kelas A,,,Kelas B,,,Kelas C,,,Kelas D dan Kelas D Pratama,,,Belum Ditetapkan Kelas,,,,,
,,RS,,TT,RS,,TT,RS,,TT,RS,,TT,RS,,TT,,,
,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,,,
(1),(2),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,
1,Aceh,2,"2,8",1.370,10,"13,9",2.532,34,"47,2",4.647,25,"34,7",2.020,1,"1,4",42,,,
2,Sumatera Utara,2,"0,9",1.210,29,"13,1",6.641,122,"55,0",13.600,61,"27,5",2.823,8,"3,6",84,,,
3,Sumatera Barat,2,"2,5",992,6,"7,5",866,51,"63,8",4.637,17,"21,3",1.044,4,"5,0",19,,,
4,Riau,1,"1,3",537,6,"7,9",1.809,44,"57,9",4.825,25,"32,9",1.267,0,"0,0",0,,,
5,Jambi,0,"0,0",0,4,"9,8",993,24,"58,5",3.199,13,"31,7",554,0,"0,0",0,,,
6,Sumatera Selatan,2,"2,3",1.136,8,"9,2",1.678,50,"57,5",5.250,27,"31,0",1.686,0,"0,0",0,,,
7,Bengkulu,0,"0,0",0,2,"7,7",573,15,"57,7",1.707,9,"34,6",564,0,"0,0",0,,,
8,Lampung,1,"1,3",613,5,"6,3",940,54,"67,5",5.405,20,"25,0",1.228,0,"0,0",0,,,
9,Kep. Bangka Belitung,0,"0,0",0,2,"7,4",349,15,"55,6",1.573,10,"37,0",505,0,"0,0",0,,,
10,Kepulauan Riau,0,"0,0",0,6,"16,7",1.441,20,"55,6",2.107,10,"27,8",488,0,"0,0",0,,,
11,DKI Jakarta,17,"8,8",5.966,71,"36,8",12.135,77,"39,9",5.748,25,"13,0",1.325,3,"1,6",48,,,
12,Jawa Barat,8,"2,1",1.991,70,"18,0",18.733,231,"59,5",26.607,76,"19,6",4.736,3,"0,8",231,,,
13,Jawa Tengah,9,"2,8",4.005,36,"11,1",11.234,144,"44,4",20.137,133,"41,0",10.337,2,"0,6",188,,,
14,DI Yogyakarta,2,"2,5",935,14,"17,3",2.546,31,"38,3",1.964,34,"42,0",1.698,0,"0,0",0,,,
15,Jawa Timur,5,"1,3",4.353,62,"15,5",16.681,197,"49,3",20.798,133,"33,3",9.183,3,"0,8",85,,,
16,Banten,0,"0,0",0,20,"16,3",4.714,88,"71,5",7.991,13,"10,6",715,2,"1,6",6,,,
17,Bali,3,"4,1",1.213,11,"15,1",2.092,48,"65,8",4.807,11,"15,1",512,0,"0,0",0,,,
18,Nusa Tenggara Barat,0,"0,0",0,4,"9,3",1.720,21,"48,8",2.833,18,"41,9",1.493,0,"0,0",0,,,
19,Nusa Tenggara Timur,0,"0,0",0,2,"3,6",433,29,"51,8",3.629,24,"42,9",1.521,1,"1,8",18,,,
20,Kalimantan Barat,0,"0,0",0,4,"7,5",1.720,31,"58,5",3.963,18,"34,0",873,0,"0,0",0,,,
21,Kalimantan Tengah,0,"0,0",0,4,"13,3",1.097,17,"56,7",2.361,8,"26,7",456,1,"3,3",88,,,
22,Kalimantan Selatan,2,"3,8",939,6,"11,5",1.360,31,"59,6",3.610,13,"25,0",569,0,"0,0",0,,,
23,Kalimantan Timur,1,"1,7",170,6,"10,0",2.197,33,"55,0",3.237,20,"33,3",1.182,0,"0,0",0,,,
24,Kalimantan Utara,0,"0,0",0,1,"8,3",304,5,"41,7",802,6,"50,0",265,0,"0,0",0,,,
25,Sulawesi Utara,1,"1,9",844,4,"7,5",888,31,"58,5",3.850,15,"28,3",1.224,2,"3,8",27,,,
26,Sulawesi Tengah,0,"0,0",0,4,"10,0",1.251,24,"60,0",3.327,12,"30,0",578,0,"0,0",0,,,
27,Sulawesi Selatan,2,"1,7",1.913,29,"24,2",6.590,62,"51,7",7.087,24,"20,0",1.120,3,"2,5",11,,,
