company_key,company_norm,company_name
COMP-0001,ALASKA DWIPA PERDANA,ALASKA DWIPA PERDANA
COMP-0002,AMANAT SEPUH LESTARI,AMANAT SEPUH LESTARI
COMP-0003,ANG AND FANG BROTHER,ANG AND FANG BROTHER
COMP-0004,ANUGERAH ARGA PRATAMA,ANUGERAH ARGA PRATAMA
COMP-0005,ABADI NIKEL NUSANTARA,Abadi Nikel Nusantara
COMP-0006,BIMA CAKRA PERKASA MINERALINDO,BIMA CAKRA PERKASA MINERALINDO
COMP-0007,BINEKA KARYA,BINEKA KARYA
COMP-0008,BINTANG SINAR PERKASA,BINTANG SINAR PERKASA
COMP-0009,BINTANGDELAPAN MINERAL,BINTANGDELAPAN MINERAL
COMP-0010,BRATAMA MERCINDO ABADI,BRATAMA MERCINDO ABADI
COMP-0011,BUMI KALAENA PERSADA,BUMI KALAENA PERSADA
COMP-0012,BUMI MATANO INDAH,BUMI MATANO INDAH
COMP-0013,BUMI MOROWALI UTAMA,BUMI MOROWALI UTAMA
COMP-0014,BUMI ROUTA MINING,BUMI ROUTA MINING
COMP-0015,CAHAYA GINDA GANDA,CAHAYA GINDA GANDA
COMP-0016,CAHYA ADITAMA TEKNINDO,CAHYA ADITAMA TEKNINDO
COMP-0017,CETARA BANGUN PERSADA,CETARA BANGUN PERSADA
COMP-0018,CITRA ANGGUN BARATAMA,CITRA ANGGUN BARATAMA
COMP-0019,DELAPAN INTI POWER,DELAPAN INTI POWER
COMP-0020,DUA SAUDARA NIKELINDO,DUA SAUDARA NIKELINDO
COMP-0021,EMAS HIJAU JAYA,EMAS HIJAU JAYA
COMP-0022,ERABARU TIMUR LESTARI,ERABARU TIMUR LESTARI
COMP-0023,FADLAN MULIA JAYA,FADLAN MULIA JAYA
COMP-0024,FAJAR PRIMA SUKSES,FAJAR PRIMA SUKSES
COMP-0025,GALIH INSTRUMENTASI,GALIH INSTRUMENTASI
COMP-0026,GENBA MULTI MINERAL,GENBA MULTI MINERAL
COMP-0027,GITA FLORA,GITA FLORA
COMP-0028,GRAHA MINING UTAMA,GRAHA MINING UTAMA
COMP-0029,HARAPAN JAYA NIKELINDO,HARAPAN JAYA NIKELINDO
COMP-0030,HENGJAYA MINERALINDO,HENGJAYA MINERALINDO
COMP-0031,HERBINDO LIFE SANOBAR,HERBINDO LIFE SANOBAR
COMP-0032,INDOBERKAH JAYA MANDIRI,INDOBERKAH JAYA MANDIRI
COMP-0033,INDUSTRI TAMBANG UTAMA,INDUSTRI TAMBANG UTAMA
COMP-0034,KENCANA BUMI MINERAL,KENCANA BUMI MINERAL
COMP-0035,KENCANA NUSANTARA SAKTI,KENCANA NUSANTARA SAKTI
COMP-0036,KIMBERWAN INTERBUANA,KIMBERWAN INTERBUANA
COMP-0037,KURNIA DEGESS RAPTAMA,KURNIA DEGESS RAPTAMA
COMP-0038,LABOTA BAHODOPI SORAJAI,LABOTA BAHODOPI SORAJAI
COMP-0039,LAROENAI BUNGSEL SORAJAI,LAROENAI BUNGSEL SORAJAI
COMP-0040,MACRO PURI INDAH PERKASA,MACRO PURI INDAH PERKASA
COMP-0041,MAGHANTARA MULTIMEDIA NUSAPHALA,MAGHANTARA MULTIMEDIA NUSAPHALA
COMP-0042,MAHLIGAI ARTHA SEJAHTERA,MAHLIGAI ARTHA SEJAHTERA
COMP-0043,MAKARTI PADABAHO SORAJAI,MAKARTI PADABAHO SORAJAI
COMP-0044,MAKASSAR SUKSES SEJAHTERA,MAKASSAR SUKSES SEJAHTERA
COMP-0045,MINERAL BUMI NUSANTARA,MINERAL BUMI NUSANTARA
COMP-0046,MITRA JAYA PERKASA ABADI,MITRA JAYA PERKASA ABADI
COMP-0047,MITRA KARYA AGUNG LESTARI,MITRA KARYA AGUNG LESTARI
COMP-0048,MULAI DARI INDONESIA,MULAI DARI INDONESIA
COMP-0049,MULIA TANGJONG,MULIA TANGJONG
COMP-0050,MULTI MENTARI INTERNUSA,MULTI MENTARI INTERNUSA
COMP-0051,NUSA MINERAL SEMESTA,NUSA MINERAL SEMESTA
COMP-0052,NUSAJAYA PERSADATAMA MANDIRI,NUSAJAYA PERSADATAMA MANDIRI
COMP-0053,ODDELL INDONESIA,ODDELL INDONESIA
COMP-0054,OTI EYA ABADI,OTI EYA ABADI
COMP-0055,PAM MINERAL,PAM MINERAL
COMP-0056,PT MITRA SULAWESI BERSAMA,PT MITRA SULAWESI BERSAMA
COMP-0057,PUTRA SULAWESI MINNING,PUTRA SULAWESI MINNING
COMP-0058,RAIHAN CATURPUTRA,RAIHAN CATURPUTRA
COMP-0059,ROUDHOH PRATAMA,ROUDHOH PRATAMA
COMP-0060,SARANA ERANAS TAMBANG,SARANA ERANAS TAMBANG
COMP-0061,SARANA MAJU CEMERLANG,SARANA MAJU CEMERLANG
COMP-0062,SELARAS MAJU,SELARAS MAJU
COMP-0063,SUGICO PENDRAGON ENERGI,SUGICO PENDRAGON ENERGI
COMP-0064,SUMBER PERMATA MINERAL,SUMBER PERMATA MINERAL
COMP-0065,SYNERGY BARAPRIMA GEMILANG,SYNERGY BARAPRIMA GEMILANG
COMP-0066,TANJUNG BATANGA SAKTI,TANJUNG BATANGA SAKTI
COMP-0067,TEKNIK ALUM SERVICE,TEKNIK ALUM SERVICE
