export_key,cluster_key,cluster_id,deskripsi,tahun,negara_tujuan,pelabuhan,nilai_usd,Sumber,cluster_support,source_dataset
EXPORT-0001,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Ferro alloy nickel,2020,CHINA,KENDARI,130075536.47,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0002,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Ferro alloy nickel,2020,CHINA,KENDARI,130075536.47,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0003,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Ferro alloy nickel,2020,CHINA,KENDARI,130075536.47,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0004,CLUSTER-006,NODE-SULSEL-LUTIM-SOROWAKO-VALE,Ferro alloy nickel,2020,CHINA,MAKASSAR,1651247.29,data/raw/eksporimpor/,NODE-SULSEL-LUTIM-SOROWAKO-VALE,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0005,,,Ferro alloy nickel,2020,TOTAL,SEMUA,941006489.53,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0006,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Ferro alloy nickel,2021,CHINA,KENDARI,134866870.23,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0007,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Ferro alloy nickel,2021,CHINA,KENDARI,134866870.23,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0008,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Ferro alloy nickel,2021,CHINA,KENDARI,134866870.23,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0009,CLUSTER-006,NODE-SULSEL-LUTIM-SOROWAKO-VALE,Ferro alloy nickel,2021,CHINA,MAKASSAR,4234399.7,data/raw/eksporimpor/,NODE-SULSEL-LUTIM-SOROWAKO-VALE,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0010,,,Ferro alloy nickel,2021,TOTAL,SEMUA,1484628630.22,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0011,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Ferro-nickel,2023,CHINA,KENDARI,163501315.17,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0012,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Ferro-nickel,2023,CHINA,KENDARI,163501315.17,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0013,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Ferro-nickel,2023,CHINA,KENDARI,163501315.17,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0014,CLUSTER-006,NODE-SULSEL-LUTIM-SOROWAKO-VALE,Ferro-nickel,2023,CHINA,MAKASSAR,40927558.07,data/raw/eksporimpor/,NODE-SULSEL-LUTIM-SOROWAKO-VALE,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0015,,,Ferro-nickel,2023,TOTAL,SEMUA,3302552666.72,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0016,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Ferro-nickel,2024,CHINA,KENDARI,282796811.1,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0017,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Ferro-nickel,2024,CHINA,KENDARI,282796811.1,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0018,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Ferro-nickel,2024,CHINA,KENDARI,282796811.1,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0019,CLUSTER-006,NODE-SULSEL-LUTIM-SOROWAKO-VALE,Ferro-nickel,2024,CHINA,MAKASSAR,65596911.13,data/raw/eksporimpor/,NODE-SULSEL-LUTIM-SOROWAKO-VALE,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0020,,,Ferro-nickel,2024,TOTAL,SEMUA,3272352313.33,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0021,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Ferro-nickel,2026,CHINA,KENDARI,288888989.24,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0022,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Ferro-nickel,2026,CHINA,KENDARI,288888989.24,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0023,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Ferro-nickel,2026,CHINA,KENDARI,288888989.24,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0024,CLUSTER-006,NODE-SULSEL-LUTIM-SOROWAKO-VALE,Ferro-nickel,2026,CHINA,MAKASSAR,7545710.56,data/raw/eksporimpor/,NODE-SULSEL-LUTIM-SOROWAKO-VALE,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0025,,,Ferro-nickel,2026,TOTAL,SEMUA,1189270555.94,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0026,,,Oth stainless steel in ingots/oth primary formrectangular(oth than square)cross-section,2021,TOTAL,SEMUA,37408850.6,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0027,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2023,CHINA,KENDARI,11664921.7,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0028,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2023,CHINA,KENDARI,11664921.7,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0029,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2023,CHINA,KENDARI,11664921.7,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0030,,,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2023,TOTAL,SEMUA,40489018.3,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0031,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2024,CHINA,KENDARI,23316048.6,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0032,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2024,CHINA,KENDARI,23316048.6,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0033,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2024,CHINA,KENDARI,23316048.6,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0034,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2024,INDIA,KENDARI,1375988.96,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0035,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2024,INDIA,KENDARI,1375988.96,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0036,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2024,INDIA,KENDARI,1375988.96,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0037,,,Semi- finished products of stainless steel; of rectangular (other than square) cross-section,2024,TOTAL,SEMUA,62072723.76,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0038,,,Oth than stainless steel in ingots/oth primary formrectangular (oth than square)cross-section,2020,TOTAL,SEMUA,1153561339.49,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0039,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Oth than stainless steel in ingots/oth primary formrectangular (oth than square)cross-section,2021,CHINA,KENDARI,53813127.5,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0040,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Oth than stainless steel in ingots/oth primary formrectangular (oth than square)cross-section,2021,CHINA,KENDARI,53813127.5,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0041,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Oth than stainless steel in ingots/oth primary formrectangular (oth than square)cross-section,2021,CHINA,KENDARI,53813127.5,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0042,,,Oth than stainless steel in ingots/oth primary formrectangular (oth than square)cross-section,2021,TOTAL,SEMUA,2549210267.86,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0043,CLUSTER-003,NODE-SULTRA-KONAWE-MOROSI-VDNI,Semi- finished products of stainless steel; other than of rectangular (other than square) cross-section,2023,CHINA,KENDARI,166504289.8,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0044,CLUSTER-004,NODE-SULTRA-KONAWE-OSS,Semi- finished products of stainless steel; other than of rectangular (other than square) cross-section,2023,CHINA,KENDARI,166504289.8,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0045,CLUSTER-005,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Semi- finished products of stainless steel; other than of rectangular (other than square) cross-section,2023,CHINA,KENDARI,166504289.8,data/raw/eksporimpor/,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS|NODE-SULTRA-KOLAKA-POMALAA-ANTAM,data/processed/sulawesi_ekspor_detail_2020_2026.csv
EXPORT-0046,,,Semi- finished products of stainless steel; other than of rectangular (other than square) cross-section,2023,TOTAL,SEMUA,918857553.91,data/raw/eksporimpor/,AGREGAT_SULAWESI,data/processed/sulawesi_ekspor_detail_2020_2026.csv
