permit_key,cluster_id,node_label,nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,is_core_nickel,tahap_kegiatan,provinsi,lokasi_perizinan,tahun,luas_ha,source_dataset,cluster_key
PERMIT-0001,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Abadi Nikel Nusantara,38/1/IUP/PMDN/2025,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2014,4871.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0002,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,ANG AND FANG BROTHER,352/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,775.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0003,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,ASET SULAWESI MINERALINDO,02600102101520003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,166.66,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0004,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BAHOEA ALAM JAYA,14032200402940008,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),tidak,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2023,38.56,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0005,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BATU ALAM PRIMA,04042200034950002,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,22.02,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0006,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BATUAN UNGGUL PERKASA,04032200292340005,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,tidak,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2024,1136.63,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0007,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BATU TAMBANG SAMBALAGI,03012200284540009,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,193.16,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0008,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BERKAH UTAMA MOROWALI,21022200562760010,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,19.77,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0009,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BINEKA KARYA,262/1/IUP/PMDN/2022,Perusahaan Komanditer (CV),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,970.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0010,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BINTANG SINAR PERKASA,28/1/IUP/PMA/2017,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2017,1867.7,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0011,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BIOMAS INTERNASIONAL,91200049329090001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,180.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0012,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BRAVO MAHESA ARKATAMA,02200035616920010,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,82.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0013,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BUKIT INDAH NIRWANA,20012300490530002,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,190.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0014,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BUMI NICKEL MOROWALI,22082200447190009,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,7.9,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0015,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,BUMI ROUTA MINING,540.3/SK.002/DESDM/IX/2014,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2014,5690.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
