power_unit_key,cluster_id,node_label,plant_name,unit_name,owner,parent,capacity_mw,status,start_year,province,local_area,captive_industry_use,source_dataset,cluster_key
PLTU-0001,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Labota power station,Unit 8,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],380.0,operating,2024.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0002,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Labota power station,Unit 9,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],380.0,operating,2024.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0003,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Labota power station,Unit 3,Indonesia Huaqing Aluminum Co Ltd [100%],Huafeng Group; Qingshan Industrial Co Ltd,380.0,operating,2023.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0004,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Labota power station,Unit 4,Indonesia Wanjia Ferro Nickel Co Ltd [100%],Indonesia Wanjia Ferro Nickel Co Ltd [100.0%],380.0,operating,2023.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0005,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Labota power station,Unit 5,Indonesia Zhaohui Ferro Nickel Co Ltd [100%],Indonesia Zhaohui Ferro Nickel Co Ltd [100.0%],380.0,operating,2023.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0006,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Labota power station,Unit 6,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],380.0,operating,2023.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0007,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Labota power station,Unit 7,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],380.0,operating,2023.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0008,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Qingdao Zhongsheng captive power station,Unit 1,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,operating,2022.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0009,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Qingdao Zhongsheng captive power station,Unit 2,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,operating,2022.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0010,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Labota power station,Unit 2,Indonesia Eternal Smelting Co [100%],Eternal Tsingshan Group Ltd,350.0,operating,2022.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
