cluster_id,nama_perusahaan,provinsi,alamat,lokasi_izin,komoditas
NODE-SULTENG-MOROWALI-IMIP,BINTANGDELAPAN MINERAL,Sulawesi Tengah,"GEDUNG IMIP, JALAN BATU MULIA 8, Desa/Kelurahan Meruya Utara,
Kec. Kembangan, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta,
Kode Pos: 11620",KAB. MOROWALI,Nikel
NODE-SULTENG-MOROWALI-IMIP,KENCANA BUMI MINERAL,Sulawesi Tengah,"GEDUNG IMIP, JALAN BATU MULIA 8",KAB. MOROWALI,Nikel
NODE-SULTENG-MOROWALI-IMIP,DAMPALA SEJAHTERA BERSAMA,Sulawesi Tengah,"Jl. Trans Sulawesi Desa Dampala Kecamatan Bahodopi,
Kabupaten Morowali, Propinsi Sulawesi Tengah",KAB. MOROWALI,Kerikil Berpasir Alami (Sirtu)
NODE-SULTENG-MORUT-PETASIA-GNI,BUKIT MAKMUR ISTINDO NIKELTAMA,Sulawesi Tengah,GED.BLK.DS.IV TOMPIRA JL. TRANS SULAWESI TOMPIRA PETASIA MOROWALI SULTENG 94671,"KAB. MOROWALI, KAB. MOROWALI UTARA",Nikel
NODE-SULTENG-MORUT-PETASIA-GNI,PALU BARUGA YAKU,Sulawesi Tengah,"JL. BUMI NANGKA NO. 15, KEL. BAHONTULA, KEC. PETASIA, KAB. MOROWALI UTARA, PROV. SULAWESI TENGAH",KAB. MOROWALI UTARA,Nikel
NODE-SULTENG-MORUT-PETASIA-GNI,ANUGRAH AFIT ABADI,Sulawesi Tengah,"JL Yos Sudarso No 01, Kolonodale, Petasia",KAB. MOROWALI UTARA,Batu Gamping untuk Industri
NODE-SULTENG-MORUT-PETASIA-GNI,BUMI NUSANTARA RESEARCES,Sulawesi Tengah,"Desa Korololaki, Desa/Kelurahan Korololaki, Kec. Petasia, Kode Pos: 94971",KAB. MOROWALI UTARA,
NODE-SULTENG-MORUT-PETASIA-GNI,FAZDA PERTAMBANGAN BEBATUAN,Sulawesi Tengah,"JL. WOLTER MONGINSIDI NO.32 KEL. BAHOUE, KEC. PETASIA, KAB. MOROWALI UTARA, SULAWESI TENGAH",KAB. MOROWALI UTARA,Batu Gamping
NODE-SULTENG-MORUT-PETASIA-GNI,Nadya Sederhana Membangun,Sulawesi Tengah,"Jl. Ahmad Yani, Kel. Kolonodale, Kec. Petasia, Kab. Morowali Utara, Provinsi Sulawesi Tengah",KAB. MOROWALI UTARA,Batu Gamping
NODE-SULTENG-MORUT-PETASIA-GNI,PERMATA INDAH MATABOLO,Sulawesi Tengah,"Dusun III, Desa/Kelurahan Bunta, Kec. Petasia Timur, Kab. Morowali Utara, Provinsi Sulawesi Tengah",KAB. MOROWALI UTARA,Batu Gamping untuk Industri
NODE-SULTENG-MORUT-PETASIA-GNI,SOIL EXCAVATION,Sulawesi Tengah,"JLN. YOS SUDARSO, KEL. KOROLAKI, KEC. PETASIA, KAB. MOROWALI UTARA, PROV. SULAWESI TENGAH",KAB. MOROWALI UTARA,Batu Gamping
